file_path,label,source,artist,title,year,source_url,wikiart_style,split
data/images/Renaissance/andrea_mantegna_saint_anthony_of_padua_and_st__bernardine_of_siena_presenting_th.jpg,Renaissance,wikiart,Andrea Mantegna,Saint Anthony of Padua and St. Bernardine of Siena presenting the monogram of Christ,1452,https://www.wikiart.org/en/andrea-mantegna/saint-anthony-of-padua-and-st-bernardine-of-siena-presenting-the-monogram-of-christ,high-renaissance,train
data/images/Renaissance/andrea_mantegna_the_agony_in_the_garden__detail_.jpg,Renaissance,wikiart,Andrea Mantegna,The agony in the garden (detail),1453-1454,https://www.wikiart.org/en/andrea-mantegna/the-agony-in-the-garden,high-renaissance,train
data/images/Renaissance/andrea_mantegna_saint_james_on_the_way_to_his_execution.jpg,Renaissance,wikiart,Andrea Mantegna,Saint James on the Way to his Execution,1450-1455,https://www.wikiart.org/en/andrea-mantegna/st-jacques-leads-to-martyrdom,high-renaissance,train
data/images/Renaissance/andrea_mantegna_the_martyrdom_of_st__jacques.jpg,Renaissance,wikiart,Andrea Mantegna,The Martyrdom of St. Jacques,1447-1456,https://www.wikiart.org/en/andrea-mantegna/the-martyrdom-of-st-jacques,high-renaissance,train
data/images/Renaissance/leonardo_da_vinci_drapery_for_a_seated_figure.jpg,Renaissance,wikiart,Leonardo da Vinci,Drapery for a seated figure,1470,https://www.wikiart.org/en/leonardo-da-vinci/drapery-for-a-seated-figure-1,high-renaissance,train
data/images/Renaissance/andrea_mantegna_meeting_of_duke_ludovico_ii_gonzaga_with_cardinal_francesco_gonz.jpg,Renaissance,wikiart,Andrea Mantegna,Meeting of Duke Ludovico II Gonzaga with Cardinal Francesco Gonz (fragment),1474,https://www.wikiart.org/en/andrea-mantegna/meeting-of-duke-ludovico-ii-gonzaga-with-cardinal-francesco-gonz-fragment,high-renaissance,train
data/images/Renaissance/andrea_mantegna_the_court_of_the_gonzaga__detail_.jpg,Renaissance,wikiart,Andrea Mantegna,The court of the Gonzaga (detail),1474,https://www.wikiart.org/en/andrea-mantegna/the-court-of-mantua,high-renaissance,train
data/images/Renaissance/andrea_mantegna_the_family_of_ludovico_gonzaga.jpg,Renaissance,wikiart,Andrea Mantegna,The Family of Ludovico Gonzaga,1477,https://www.wikiart.org/en/andrea-mantegna/the-family-of-ludovico-gonzaga,high-renaissance,train
data/images/Renaissance/giovanni_antonio_boltraffio_the_virgin_and_child__the_madonna_of_the_rose_.jpg,Renaissance,wikiart,Giovanni Antonio Boltraffio,The Virgin and Child (The Madonna of the Rose),1480,https://www.wikiart.org/en/giovanni-antonio-boltraffio/the-virgin-and-child-the-madonna-of-the-rose,high-renaissance,train
data/images/Renaissance/filippino_lippi_madonna_and_child.jpg,Renaissance,wikiart,Filippino Lippi,Madonna and Child,1484,https://www.wikiart.org/en/filippino-lippi/madonna-and-child-1484,high-renaissance,train
data/images/Renaissance/leonardo_da_vinci_studies_for_a_nativity.jpg,Renaissance,wikiart,Leonardo da Vinci,Studies for a Nativity,1480-1485,https://www.wikiart.org/en/leonardo-da-vinci/studies-for-a-nativity,high-renaissance,train
data/images/Renaissance/giovanni_bellini_madonna_and_child.jpg,Renaissance,wikiart,Giovanni Bellini,Madonna and Child,1480-1490,https://www.wikiart.org/en/giovanni-bellini/madonna-and-child-1490,high-renaissance,train
data/images/Renaissance/giovanni_bellini_portrait_of_a_young_man_in_red.jpg,Renaissance,wikiart,Giovanni Bellini,Portrait of a Young Man in Red,1485-1490,https://www.wikiart.org/en/giovanni-bellini/portrait-of-a-young-man-in-red-1490,high-renaissance,train
data/images/Renaissance/leonardo_da_vinci_study_of_proportion.jpg,Renaissance,wikiart,Leonardo da Vinci,Study of proportion,1490,https://www.wikiart.org/en/leonardo-da-vinci/study-of-proportion,high-renaissance,train
data/images/Renaissance/leonardo_da_vinci_the_lady_with_an_ermine__cecilia_gallerani_.jpg,Renaissance,wikiart,Leonardo da Vinci,The Lady with an Ermine (Cecilia Gallerani),1489-1490,https://www.wikiart.org/en/leonardo-da-vinci/the-lady-with-the-ermine-cecilia-gallerani-1496,high-renaissance,train
data/images/Renaissance/vittore_carpaccio_hunting_on_the_lagoon.jpg,Renaissance,wikiart,Vittore Carpaccio,Hunting on the Lagoon,1490,https://www.wikiart.org/en/vittore-carpaccio/hunting-on-the-lagoon,high-renaissance,train
data/images/Renaissance/vittore_carpaccio_two_venetian_ladies.jpg,Renaissance,wikiart,Vittore Carpaccio,Two Venetian Ladies,1490,https://www.wikiart.org/en/vittore-carpaccio/two-venetian-ladies,high-renaissance,train
data/images/Renaissance/luca_signorelli_the_crucifixion_with_st__mary_magdalen.jpg,Renaissance,wikiart,Luca Signorelli,The Crucifixion with St. Mary Magdalen,1490,https://www.wikiart.org/en/luca-signorelli/the-crucifixion-with-st-mary-magdalen,high-renaissance,train
data/images/Renaissance/luca_signorelli_the_holy_family.jpg,Renaissance,wikiart,Luca Signorelli,The Holy Family,1490,https://www.wikiart.org/en/luca-signorelli/the-holy-family,high-renaissance,train
