file_path,label,source,artist,title,year,source_url,wikiart_style
data/images/Renaissance/andrea_mantegna_saint_anthony_of_padua_and_st__bernardine_of_siena_presenting_th.jpg,Renaissance,wikiart,Andrea Mantegna,Saint Anthony of Padua and St. Bernardine of Siena presenting the monogram of Christ,1452,https://www.wikiart.org/en/andrea-mantegna/saint-anthony-of-padua-and-st-bernardine-of-siena-presenting-the-monogram-of-christ,high-renaissance
data/images/Renaissance/andrea_mantegna_the_agony_in_the_garden__detail_.jpg,Renaissance,wikiart,Andrea Mantegna,The agony in the garden (detail),1453-1454,https://www.wikiart.org/en/andrea-mantegna/the-agony-in-the-garden,high-renaissance
data/images/Renaissance/andrea_mantegna_saint_james_on_the_way_to_his_execution.jpg,Renaissance,wikiart,Andrea Mantegna,Saint James on the Way to his Execution,1450-1455,https://www.wikiart.org/en/andrea-mantegna/st-jacques-leads-to-martyrdom,high-renaissance
data/images/Renaissance/andrea_mantegna_the_martyrdom_of_st__jacques.jpg,Renaissance,wikiart,Andrea Mantegna,The Martyrdom of St. Jacques,1447-1456,https://www.wikiart.org/en/andrea-mantegna/the-martyrdom-of-st-jacques,high-renaissance
data/images/Renaissance/andrea_mantegna_san_zeno_altarpiece.jpg,Renaissance,wikiart,Andrea Mantegna,San Zeno Altarpiece,1457,https://www.wikiart.org/en/andrea-mantegna/san-zeno-altarpiece,high-renaissance
data/images/Renaissance/leonardo_da_vinci_drapery_for_a_seated_figure.jpg,Renaissance,wikiart,Leonardo da Vinci,Drapery for a seated figure,1470,https://www.wikiart.org/en/leonardo-da-vinci/drapery-for-a-seated-figure-1,high-renaissance
data/images/Renaissance/andrea_mantegna_meeting_of_duke_ludovico_ii_gonzaga_with_cardinal_francesco_gonz.jpg,Renaissance,wikiart,Andrea Mantegna,Meeting of Duke Ludovico II Gonzaga with Cardinal Francesco Gonz (fragment),1474,https://www.wikiart.org/en/andrea-mantegna/meeting-of-duke-ludovico-ii-gonzaga-with-cardinal-francesco-gonz-fragment,high-renaissance
data/images/Renaissance/andrea_mantegna_the_court_of_the_gonzaga__detail_.jpg,Renaissance,wikiart,Andrea Mantegna,The court of the Gonzaga (detail),1474,https://www.wikiart.org/en/andrea-mantegna/the-court-of-mantua,high-renaissance
data/images/Renaissance/andrea_mantegna_the_family_of_ludovico_gonzaga.jpg,Renaissance,wikiart,Andrea Mantegna,The Family of Ludovico Gonzaga,1477,https://www.wikiart.org/en/andrea-mantegna/the-family-of-ludovico-gonzaga,high-renaissance
data/images/Renaissance/leonardo_da_vinci_study_of_an_old_man.jpg,Renaissance,wikiart,Leonardo da Vinci,Study of an Old Man,1480,https://www.wikiart.org/en/leonardo-da-vinci/study-of-an-old-man,high-renaissance
